,object,1,2,3
0,animal,97.0,29.0,31.0
1,barrier,34341.0,443.0,10278.0
2,bicycle,2521.0,107.0,332.0
3,bicycle_rack,644.0,,267.0
4,bus,4006.0,905.0,803.0
5,car,93705.0,11983.0,33256.0
6,construction,3919.0,28.0,762.0
7,day,23036.0,,6058.0
8,debris,986.0,,187.0
9,emergency,175.0,15.0,21.0
10,motorcycle,2660.0,491.0,153.0
11,night,1142.0,3913.0,
12,pedestrian,51596.0,4717.0,5818.0
13,pushable_pullable,3398.0,4778.0,261.0
14,summer,18682.0,,310.0
15,trafficcone,20234.0,388.0,4605.0
16,trailer,4727.0,,2549.0
17,truck,19033.0,523.0,6117.0
18,winter,5496.0,3913.0,5748.0
