,object,1,2,3,4
0,animal,87.0,29.0,31.0,10.0
1,barrier,20558.0,443.0,10278.0,13783.0
2,bicycle,1152.0,107.0,332.0,1369.0
3,bicycle_rack,604.0,,267.0,40.0
4,bus,2218.0,905.0,803.0,1788.0
5,car,71208.0,11983.0,33256.0,22497.0
6,construction,3024.0,28.0,762.0,895.0
7,day,14167.0,,6058.0,8869.0
8,debris,494.0,,187.0,492.0
9,emergency,167.0,15.0,21.0,8.0
10,motorcycle,1248.0,491.0,153.0,1412.0
11,night,217.0,3913.0,,925.0
12,pedestrian,35296.0,4717.0,5818.0,16300.0
13,pushable_pullable,660.0,4778.0,261.0,2738.0
14,summer,12642.0,,310.0,6040.0
15,trafficcone,15550.0,388.0,4605.0,4684.0
16,trailer,4008.0,,2549.0,719.0
17,truck,14640.0,523.0,6117.0,4393.0
18,winter,1742.0,3913.0,5748.0,3754.0
