,object,1,2,3
0,animal,99.0,29.0,29.0
1,barrier,34063.0,443.0,10556.0
2,bicycle,2518.0,110.0,332.0
3,bicycle_rack,647.0,,264.0
4,bus,4006.0,904.0,804.0
5,car,94218.0,11932.0,32794.0
6,construction,3859.0,28.0,822.0
7,day,23003.0,,6091.0
8,debris,988.0,,185.0
9,emergency,175.0,15.0,21.0
10,motorcycle,2667.0,486.0,151.0
11,night,1184.0,3871.0,
12,pedestrian,51570.0,4749.0,5812.0
13,pushable_pullable,3399.0,4777.0,261.0
14,summer,18683.0,,309.0
15,trafficcone,20157.0,388.0,4682.0
16,trailer,4672.0,,2604.0
17,truck,18982.0,523.0,6168.0
18,winter,5504.0,3871.0,5782.0
