,object,1,2,3,4
0,animal,91.0,29.0,29.0,8.0
1,barrier,21117.0,443.0,10556.0,12946.0
2,bicycle,1252.0,110.0,332.0,1266.0
3,bicycle_rack,565.0,,264.0,82.0
4,bus,2531.0,904.0,804.0,1475.0
5,car,75467.0,11932.0,32794.0,18751.0
6,construction,3121.0,28.0,822.0,738.0
7,day,15190.0,,6091.0,7813.0
8,debris,621.0,,185.0,367.0
9,emergency,171.0,15.0,21.0,4.0
10,motorcycle,1389.0,486.0,151.0,1278.0
11,night,252.0,3871.0,,932.0
12,pedestrian,36825.0,4749.0,5812.0,14745.0
13,pushable_pullable,862.0,4777.0,261.0,2537.0
14,summer,13669.0,,309.0,5014.0
15,trafficcone,15825.0,388.0,4682.0,4332.0
16,trailer,4551.0,,2604.0,121.0
17,truck,16042.0,523.0,6168.0,2940.0
18,winter,1773.0,3871.0,5782.0,3731.0
