,object,1,2,3,4,5
0,animal,67.0,29.0,29.0,8.0,24.0
1,barrier,11824.0,443.0,10556.0,12946.0,9293.0
2,bicycle,883.0,110.0,332.0,1266.0,369.0
3,bicycle_rack,473.0,,264.0,82.0,92.0
4,bus,1641.0,904.0,804.0,1475.0,890.0
5,car,51348.0,11932.0,32794.0,18751.0,24119.0
6,construction,2148.0,28.0,822.0,738.0,973.0
7,day,10793.0,,6091.0,7813.0,4397.0
8,debris,377.0,,185.0,367.0,244.0
9,emergency,124.0,15.0,21.0,4.0,47.0
10,motorcycle,834.0,486.0,151.0,1278.0,555.0
11,night,203.0,3871.0,,932.0,49.0
12,pedestrian,19686.0,4749.0,5812.0,14745.0,17139.0
13,pushable_pullable,669.0,4777.0,261.0,2537.0,193.0
14,summer,9524.0,,309.0,5014.0,4145.0
15,trafficcone,6309.0,388.0,4682.0,4332.0,9516.0
16,trailer,4038.0,,2604.0,121.0,513.0
17,truck,12110.0,523.0,6168.0,2940.0,3932.0
18,winter,1472.0,3871.0,5782.0,3731.0,301.0
