,object,1,2,3,4,5,6
0,animal,29.0,41.0,29.0,8.0,24.0,26.0
1,barrier,443.0,8529.0,10556.0,12946.0,9293.0,3295.0
2,bicycle,110.0,417.0,332.0,1266.0,369.0,466.0
3,bicycle_rack,,94.0,264.0,82.0,92.0,379.0
4,bus,904.0,771.0,804.0,1475.0,890.0,870.0
5,car,11932.0,25527.0,32794.0,18751.0,24119.0,25821.0
6,construction,28.0,1815.0,822.0,738.0,973.0,333.0
7,day,,5897.0,6091.0,7813.0,4397.0,4896.0
8,debris,,242.0,185.0,367.0,244.0,135.0
9,emergency,15.0,77.0,21.0,4.0,47.0,47.0
10,motorcycle,486.0,386.0,151.0,1278.0,555.0,448.0
11,night,3871.0,87.0,,932.0,49.0,116.0
12,pedestrian,4749.0,10211.0,5812.0,14745.0,17139.0,9475.0
13,pushable_pullable,4777.0,343.0,261.0,2537.0,193.0,326.0
14,summer,,5348.0,309.0,5014.0,4145.0,4176.0
15,trafficcone,388.0,4459.0,4682.0,4332.0,9516.0,1850.0
16,trailer,,2538.0,2604.0,121.0,513.0,1500.0
17,truck,523.0,6847.0,6168.0,2940.0,3932.0,5263.0
18,winter,3871.0,636.0,5782.0,3731.0,301.0,836.0
