,object,1,2,3
0,animal,86.0,42.0,29.0
1,barrier,32411.0,12215.0,436.0
2,bicycle,2480.0,374.0,106.0
3,bicycle_rack,641.0,270.0,
4,bus,3933.0,964.0,817.0
5,car,91959.0,35688.0,11297.0
6,construction,3705.0,976.0,28.0
7,day,22180.0,6885.0,29.0
8,debris,980.0,193.0,
9,emergency,173.0,23.0,15.0
10,motorcycle,2676.0,169.0,459.0
11,night,1247.0,191.0,3617.0
12,pedestrian,50283.0,7561.0,4287.0
13,pushable_pullable,3407.0,320.0,4710.0
14,summer,17973.0,1015.0,4.0
15,trafficcone,19129.0,5760.0,338.0
16,trailer,4429.0,2847.0,
17,truck,18356.0,6795.0,522.0
18,winter,5454.0,6061.0,3642.0
