,object,1,2,3,4
0,animal,12.0,74.0,42.0,29.0
1,barrier,9491.0,23490.0,11647.0,434.0
2,bicycle,1258.0,1250.0,348.0,104.0
3,bicycle_rack,165.0,480.0,266.0,
4,bus,1556.0,2441.0,904.0,813.0
5,car,18104.0,75423.0,34186.0,11231.0
6,construction,574.0,3195.0,912.0,28.0
7,day,8041.0,14526.0,6499.0,28.0
8,debris,395.0,589.0,189.0,
9,emergency,3.0,174.0,19.0,15.0
10,motorcycle,952.0,1753.0,147.0,452.0
11,night,944.0,404.0,136.0,3571.0
12,pedestrian,13200.0,37921.0,6844.0,4166.0
13,pushable_pullable,2570.0,867.0,293.0,4707.0
14,summer,4984.0,13171.0,834.0,3.0
15,trafficcone,3520.0,16017.0,5363.0,327.0
16,trailer,527.0,3979.0,2770.0,
17,truck,3513.0,15085.0,6553.0,522.0
18,winter,4001.0,1759.0,5801.0,3596.0
