,object,1,2,3,4,5
0,animal,35.0,45.0,9.0,29.0,39.0
1,barrier,7979.0,18242.0,7381.0,434.0,11026.0
2,bicycle,406.0,1094.0,1020.0,104.0,336.0
3,bicycle_rack,59.0,533.0,59.0,,260.0
4,bus,1001.0,1746.0,1280.0,807.0,880.0
5,car,23444.0,58504.0,12932.0,11196.0,32868.0
6,construction,1137.0,2292.0,426.0,28.0,826.0
7,day,4832.0,11391.0,6591.0,28.0,6252.0
8,debris,168.0,487.0,341.0,,177.0
9,emergency,75.0,101.0,4.0,15.0,16.0
10,motorcycle,779.0,1102.0,835.0,450.0,138.0
11,night,244.0,318.0,811.0,3560.0,122.0
12,pedestrian,9747.0,31560.0,10404.0,4142.0,6278.0
13,pushable_pullable,359.0,950.0,2155.0,4708.0,265.0
14,summer,4191.0,10184.0,3917.0,3.0,697.0
15,trafficcone,4480.0,12669.0,2781.0,327.0,4970.0
16,trailer,1831.0,2396.0,383.0,,2666.0
17,truck,5670.0,10624.0,2569.0,522.0,6288.0
18,winter,885.0,1525.0,3485.0,3585.0,5677.0
