,object,1,2,3,4,5,6
0,animal,,45.0,9.0,29.0,39.0,35.0
1,barrier,10.0,18242.0,7331.0,426.0,11006.0,8047.0
2,bicycle,1.0,1094.0,1018.0,105.0,336.0,406.0
3,bicycle_rack,,533.0,59.0,,260.0,59.0
4,bus,24.0,1741.0,1269.0,801.0,879.0,1000.0
5,car,862.0,58505.0,12820.0,10521.0,32792.0,23444.0
6,construction,14.0,2293.0,421.0,14.0,826.0,1141.0
7,day,,11396.0,6588.0,16.0,6262.0,4832.0
8,debris,,490.0,333.0,,177.0,173.0
9,emergency,,101.0,4.0,15.0,16.0,75.0
10,motorcycle,34.0,1099.0,827.0,432.0,135.0,777.0
11,night,222.0,308.0,756.0,3415.0,111.0,243.0
12,pedestrian,162.0,31522.0,10262.0,4182.0,6233.0,9770.0
13,pushable_pullable,33.0,946.0,2136.0,4724.0,239.0,359.0
14,summer,,10183.0,3912.0,1.0,702.0,4194.0
15,trafficcone,,12675.0,2720.0,351.0,4957.0,4524.0
16,trailer,,2398.0,382.0,,2665.0,1831.0
17,truck,34.0,10625.0,2566.0,489.0,6288.0,5671.0
18,winter,222.0,1521.0,3432.0,3430.0,5671.0,881.0
