,object,1,2,3,4
0,animal,17.0,42.0,30.0,68.0
1,barrier,10599.0,12419.0,436.0,21608.0
2,bicycle,1367.0,367.0,109.0,1117.0
3,bicycle_rack,243.0,278.0,,390.0
4,bus,1684.0,942.0,834.0,2254.0
5,car,22311.0,35646.0,11552.0,69435.0
6,construction,659.0,1010.0,28.0,3012.0
7,day,9025.0,6834.0,27.0,13208.0
8,debris,440.0,216.0,,517.0
9,emergency,5.0,24.0,15.0,167.0
10,motorcycle,1028.0,160.0,479.0,1637.0
11,night,874.0,159.0,3687.0,335.0
12,pedestrian,14800.0,7556.0,4447.0,35328.0
13,pushable_pullable,2732.0,284.0,4777.0,644.0
14,summer,5860.0,1066.0,2.0,12064.0
15,trafficcone,3865.0,5523.0,365.0,15474.0
16,trailer,782.0,2973.0,1.0,3520.0
17,truck,4523.0,6909.0,530.0,13711.0
18,winter,4039.0,5927.0,3712.0,1479.0
