,object,1,2,3,4,5
0,animal,7.0,40.0,30.0,40.0,40.0
1,barrier,8244.0,14343.0,436.0,11366.0,10673.0
2,bicycle,1142.0,783.0,109.0,344.0,582.0
3,bicycle_rack,120.0,408.0,,269.0,114.0
4,bus,1427.0,1297.0,832.0,908.0,1250.0
5,car,15312.0,44519.0,11507.0,33793.0,33813.0
6,construction,489.0,1810.0,28.0,863.0,1519.0
7,day,7106.0,8694.0,22.0,6481.0,6791.0
8,debris,334.0,370.0,,197.0,272.0
9,emergency,1.0,81.0,15.0,18.0,96.0
10,motorcycle,858.0,754.0,478.0,153.0,1061.0
11,night,755.0,202.0,3677.0,117.0,304.0
12,pedestrian,10955.0,26157.0,4440.0,6537.0,14042.0
13,pushable_pullable,2335.0,564.0,4776.0,247.0,515.0
14,summer,4480.0,7853.0,2.0,805.0,5852.0
15,trafficcone,2945.0,11126.0,361.0,4938.0,5857.0
16,trailer,538.0,1337.0,1.0,2824.0,2576.0
17,truck,3107.0,7747.0,530.0,6534.0,7755.0
18,winter,3381.0,1043.0,3697.0,5793.0,1243.0
