,object,1,2,3,4,5,6
0,animal,30.0,34.0,32.0,28.0,4.0,29.0
1,barrier,436.0,7190.0,7944.0,12063.0,7352.0,10077.0
2,bicycle,109.0,291.0,436.0,472.0,1061.0,591.0
3,bicycle_rack,,264.0,89.0,64.0,105.0,389.0
4,bus,839.0,760.0,1092.0,648.0,1322.0,1053.0
5,car,11506.0,29617.0,25915.0,24313.0,13450.0,34143.0
6,construction,28.0,615.0,989.0,1607.0,426.0,1044.0
7,day,16.0,5642.0,5147.0,5234.0,6734.0,6321.0
8,debris,,162.0,184.0,218.0,301.0,308.0
9,emergency,15.0,16.0,69.0,45.0,1.0,65.0
10,motorcycle,477.0,116.0,958.0,277.0,825.0,651.0
11,night,3683.0,95.0,278.0,126.0,729.0,144.0
12,pedestrian,4458.0,5609.0,11707.0,8655.0,10779.0,20923.0
13,pushable_pullable,4776.0,205.0,425.0,340.0,2218.0,473.0
14,summer,2.0,159.0,4310.0,4737.0,4071.0,5713.0
15,trafficcone,360.0,3533.0,4935.0,4015.0,2728.0,9656.0
16,trailer,,2426.0,1399.0,2349.0,240.0,862.0
17,truck,528.0,5926.0,5522.0,5496.0,2593.0,5608.0
18,winter,3697.0,5578.0,1115.0,623.0,3392.0,752.0
