class_group,class_name,counts,proportion,mean_aps_score
vehicle,car,138944,0.4188441271870063,0.8999005966324335
human,pedestrian,62131,0.1872927543920996,0.9173539631054549
movable_object,barrier,45062,0.1358385684829923,0.8096503240983705
vehicle,truck,25673,0.0773907853327384,0.6765864593056407
movable_object,traffic_cone,25227,0.0760463265527594,0.8934305474709328
vehicle,trailer,7276,0.0219333678993886,0.6865219283855095
vehicle,bus,5714,0.0172247476878926,0.7557234860562779
vehicle,construction_vehicle,4709,0.0141951937105856,0.4424968709926783
vehicle,motorcycle,3304,0.0099598471054947,0.8399030373657569
vehicle,bicycle,2960,0.0089228654456006,0.6660532441834766
